id;entretien;histoire;vitesse_croissance;exposition
1;b tolerance;circuit innovative;backing Licensed magenta;Car orchestrate
2;redundant reboot;Computer;wireless SCSI a;Buckinghamshire Gloves
3;transmitting;high-level optimizing;Future-proofed;Health Synchronised
4;Berkshire Account;Monsieur-le-Prince;Concrete;solid Bedfordshire
5;Small Account deploy;Market Automated Investment;green multi-byte Borders;Corse Account invoice
6;a deliverables Gloves;Bourgogne Extended deposit;Pants Fidji drive;deposit
7;Rubber back-end;b;JSON Fresh Mozambique;TCP
8;alarm Baby;parsing;workforce Bedfordshire Qatar;Rupiah Centre paradigm
9;markets;Mouffetard parallelism;niches;Chicken CSS
10;Soft;Pizza Home e-services;b;Bacon
